dateTime,windAngle,WAReference,windSpeed,WSUnits,status,checkSum
2020-08-12 00:08:12.584611,288.7,R,1.4,N,A,23
2020-08-12 00:08:16.117468,271.3,R,1.4,N,A,21
2020-08-12 00:08:19.585011,293.5,R,1.8,N,A,27
2020-08-12 00:08:23.117187,296.0,R,1.6,N,A,29
2020-08-12 00:08:26.584343,291.4,R,1.7,N,A,2B
2020-08-12 00:08:29.585394,289.0,R,1.5,N,A,24
2020-08-12 00:08:33.118347,285.5,R,1.3,N,A,2B
2020-08-12 00:08:36.585493,289.5,R,1.3,N,A,27
2020-08-12 00:08:40.117952,293.7,R,1.5,N,A,28
2020-08-12 00:08:43.118892,287.0,R,1.4,N,A,2B
2020-08-12 00:08:46.586329,284.3,R,1.2,N,A,2D
2020-08-12 00:08:50.118883,283.7,R,1.4,N,A,28
2020-08-12 00:08:53.119997,282.1,R,1.8,N,A,23
2020-08-12 00:08:56.587372,289.1,R,2.7,N,A,24
2020-08-12 00:09:00.119799,288.7,R,2.7,N,A,23
2020-08-12 00:09:03.588118,291.3,R,2.4,N,A,2C
2020-08-12 00:09:07.120400,288.8,R,1.3,N,A,2B
2020-08-12 00:09:10.587865,283.7,R,1.3,N,A,2F
2020-08-12 00:09:14.120156,284.7,R,1.5,N,A,2E
2020-08-12 00:09:17.121232,287.9,R,1.3,N,A,25
2020-08-12 00:09:20.588535,301.8,R,1.3,N,A,2B
2020-08-12 00:09:24.120695,288.7,R,1.3,N,A,24
2020-08-12 00:09:27.121581,287.5,R,1.4,N,A,2E
2020-08-12 00:09:30.588806,282.2,R,1.7,N,A,2F
2020-08-12 00:09:34.121131,271.3,R,2.0,N,A,26
2020-08-12 00:09:37.122418,280.2,R,2.0,N,A,29
2020-08-12 00:09:40.590138,279.9,R,1.9,N,A,2E
2020-08-12 00:09:44.122680,292.5,R,1.9,N,A,27
2020-08-12 00:09:47.589842,285.3,R,1.9,N,A,27
2020-08-12 00:09:50.591034,293.0,R,1.5,N,A,2F
2020-08-12 00:09:54.123460,295.5,R,1.4,N,A,2D
2020-08-12 00:09:57.591039,294.2,R,1.5,N,A,2A
2020-08-12 00:10:01.123491,295.6,R,1.5,N,A,2F
2020-08-12 00:10:04.591861,282.6,R,1.8,N,A,24
2020-08-12 00:10:08.124167,276.7,R,1.9,N,A,2F
2020-08-12 00:10:11.592373,271.3,R,1.7,N,A,22
2020-08-12 00:10:15.124694,287.9,R,1.4,N,A,22
2020-08-12 00:10:18.592244,271.3,R,1.4,N,A,21
2020-08-12 00:10:22.124689,293.2,R,1.3,N,A,2B
2020-08-12 00:10:25.592230,293.5,R,1.4,N,A,2B
2020-08-12 00:10:29.125711,293.0,R,1.3,N,A,29
2020-08-12 00:10:32.592870,290.4,R,1.3,N,A,2E
2020-08-12 00:10:36.126415,282.7,R,1.3,N,A,2E
2020-08-12 00:10:39.593842,283.2,R,1.6,N,A,2F
2020-08-12 00:10:43.126501,291.7,R,1.2,N,A,2D
2020-08-12 00:10:46.594100,300.7,R,1.6,N,A,20
2020-08-12 00:10:50.126500,302.6,R,1.4,N,A,21
2020-08-12 00:10:53.594154,298.1,R,1.4,N,A,24
2020-08-12 00:10:57.127131,290.4,R,1.4,N,A,29
2020-08-12 00:11:00.595530,291.9,R,1.7,N,A,26
2020-08-12 00:11:04.128382,293.8,R,1.6,N,A,24
2020-08-12 00:11:07.595555,297.4,R,1.4,N,A,2E
2020-08-12 00:11:11.127709,297.0,R,1.1,N,A,2F
2020-08-12 00:11:14.595385,282.0,R,1.3,N,A,29
2020-08-12 00:11:17.597950,285.5,R,1.3,N,A,2B
2020-08-12 00:11:21.130389,286.1,R,1.3,N,A,2C
