dateTime,temperature,relativeWindChillTemperature,TUnits,RWCTID,RWCTUnits,theoreticalWindChillTemperature,TUnits2,TWCTID,TWCTUnits,heatIndex,HIUnits,HIID,pressureUnits,barrometricPressureBars,BPBUnits,BPBID,checkSum
2020-08-12 00:16:37.063424,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:16:44.061514,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:16:51.054651,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:17:01.057180,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:17:08.056513,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:17:18.057704,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:17:28.057744,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:17:38.058918,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:17:51.059657,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:18:01.060954,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:18:11.060881,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:18:18.061461,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:18:31.062193,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:18:38.062676,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:18:51.063411,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9847,B,STNP,49
2020-08-12 00:18:58.063997,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:19:05.064654,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:19:15.064682,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:19:22.065278,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:19:29.065932,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:19:42.066496,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:19:49.067145,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:20:05.068448,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:20:12.069025,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:20:25.069641,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:20:38.070242,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:20:48.070249,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:20:58.071587,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:21:05.072168,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:21:21.073436,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:21:31.073365,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:21:38.073987,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:21:51.074770,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:21:58.075321,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:22:05.075983,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:22:18.076501,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:22:31.077159,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:22:41.078439,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:22:51.078473,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:22:58.078934,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:23:11.079663,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:23:18.080261,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:23:25.080906,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:23:38.081466,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:23:45.082246,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:23:58.082201,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:24:05.087709,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:24:15.087739,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:24:25.089011,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:24:38.089659,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:24:45.090254,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:24:52.085231,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:25:05.085984,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:25:15.086722,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:25:22.087141,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:25:25.092815,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:25:35.087733,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:25:45.088419,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:25:48.094040,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:25:55.089689,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:26:05.090232,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:26:15.090895,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:26:28.096450,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:26:35.091804,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:26:38.097152,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:26:48.097786,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:26:55.098411,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:27:05.098957,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:27:12.098934,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:27:15.100243,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:27:34.100185,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:27:44.101727,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9850,B,STNP,4F
2020-08-12 00:28:03.102230,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:28:10.102807,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:28:17.103421,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:28:27.104326,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:28:37.104633,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:28:47.105539,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:29:00.106760,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:29:10.106444,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:29:23.107161,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:29:30.107764,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:29:40.108455,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9848,B,STNP,46
2020-08-12 00:29:50.109612,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:29:57.109623,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:30:07.110282,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
2020-08-12 00:30:17.105969,C,,C,WCHR,C,,C,WCHT,C,,C,HINX,P,0.9849,B,STNP,47
