dateTime,heading,HID,checkSum
2020-08-12 00:12:21.546622,150.1,T,2C
2020-08-12 00:12:25.078348,150.1,T,2C
2020-08-12 00:12:28.546059,150.2,T,2F
2020-08-12 00:12:31.547548,150.1,T,2C
2020-08-12 00:12:35.079934,150.6,T,2B
2020-08-12 00:12:38.547558,149.8,T,2D
2020-08-12 00:12:42.079615,150.2,T,2F
2020-08-12 00:12:45.547542,150.0,T,2D
2020-08-12 00:12:49.080866,150.6,T,2B
2020-08-12 00:12:52.548534,150.3,T,2E
2020-08-12 00:12:56.080214,150.1,T,2C
2020-08-12 00:12:59.081461,150.3,T,2E
2020-08-12 00:13:02.547860,150.4,T,29
2020-08-12 00:13:05.549109,150.5,T,28
2020-08-12 00:13:09.082180,150.5,T,28
2020-08-12 00:13:12.548750,150.6,T,2B
2020-08-12 00:13:16.081544,150.0,T,2D
2020-08-12 00:13:19.082713,149.8,T,2D
2020-08-12 00:13:22.550290,150.2,T,2F
2020-08-12 00:13:26.082709,150.2,T,2F
2020-08-12 00:13:29.544780,150.1,T,2C
2020-08-12 00:13:32.551086,150.0,T,2D
2020-08-12 00:13:36.083396,150.2,T,2F
2020-08-12 00:13:39.550306,150.2,T,2F
2020-08-12 00:13:43.083645,150.5,T,28
2020-08-12 00:13:46.545288,150.3,T,2E
2020-08-12 00:13:49.552267,150.4,T,29
2020-08-12 00:13:53.078429,149.7,T,22
2020-08-12 00:13:56.551588,150.5,T,28
2020-08-12 00:14:00.084038,149.9,T,2C
2020-08-12 00:14:03.085321,150.4,T,29
2020-08-12 00:14:06.552883,149.9,T,2C
2020-08-12 00:14:10.085184,150.3,T,2E
2020-08-12 00:14:13.553503,150.2,T,2F
2020-08-12 00:14:17.085965,150.3,T,2E
2020-08-12 00:14:20.554109,150.2,T,2F
2020-08-12 00:14:24.085938,150.3,T,2E
2020-08-12 00:14:27.554100,150.5,T,28
2020-08-12 00:14:31.087451,150.2,T,2F
2020-08-12 00:14:34.554094,150.6,T,2B
2020-08-12 00:14:38.086532,150.1,T,2C
2020-08-12 00:14:41.554740,150.3,T,2E
2020-08-12 00:14:45.087777,149.9,T,2C
2020-08-12 00:14:48.554729,150.3,T,2E
2020-08-12 00:14:52.088423,150.2,T,2F
2020-08-12 00:14:55.556567,150.2,T,2F
2020-08-12 00:14:59.087777,150.4,T,29
2020-08-12 00:15:02.556097,150.4,T,29
2020-08-12 00:15:06.088404,150.3,T,2E
2020-08-12 00:15:09.556567,150.0,T,2D
2020-08-12 00:15:13.089649,150.5,T,28
2020-08-12 00:15:16.557786,150.3,T,2E
2020-08-12 00:15:20.090239,150.6,T,2B
2020-08-12 00:15:23.557333,150.2,T,2F
2020-08-12 00:15:27.089620,150.4,T,29
2020-08-12 00:15:30.557918,150.4,T,29
2020-08-12 00:15:34.090228,150.2,T,2F
2020-08-12 00:15:37.558550,150.5,T,28
2020-08-12 00:15:41.090864,150.3,T,2E
2020-08-12 00:15:44.559141,150.2,T,2F
2020-08-12 00:15:48.091458,150.5,T,28
2020-08-12 00:15:51.559800,150.6,T,2B
2020-08-12 00:15:55.092107,150.4,T,29
2020-08-12 00:15:58.559124,150.3,T,2E
2020-08-12 00:16:02.092680,150.2,T,2F
2020-08-12 00:16:05.559747,150.2,T,2F
2020-08-12 00:16:09.093441,150.4,T,29
2020-08-12 00:16:12.560355,150.2,T,2F
2020-08-12 00:16:16.092662,150.7,T,2A
2020-08-12 00:16:19.561000,150.9,T,24
2020-08-12 00:16:23.093434,150.4,T,29
2020-08-12 00:16:26.561594,150.1,T,2C
2020-08-12 00:16:30.094037,150.3,T,2E
2020-08-12 00:16:33.566005,150.4,T,29
2020-08-12 00:16:37.103420,150.2,T,2F
2020-08-12 00:16:40.566575,150.2,T,2F
2020-08-12 00:16:44.100258,150.5,T,28
2020-08-12 00:16:47.558581,150.4,T,29
2020-08-12 00:16:50.561610,150.3,T,2E
2020-08-12 00:16:54.093930,150.5,T,28
2020-08-12 00:16:57.099637,150.4,T,29
2020-08-12 00:17:00.564168,150.4,T,29
2020-08-12 00:17:04.096486,150.3,T,2E
2020-08-12 00:17:07.563545,150.3,T,2E
2020-08-12 00:17:11.097126,150.4,T,29
2020-08-12 00:17:14.564142,150.1,T,2C
2020-08-12 00:17:18.097707,150.8,T,25
2020-08-12 00:17:21.564790,150.6,T,2B
2020-08-12 00:17:25.098347,150.8,T,25
2020-08-12 00:17:28.565375,150.2,T,2F
2020-08-12 00:17:32.097697,150.3,T,2E
2020-08-12 00:17:35.566016,150.5,T,28
2020-08-12 00:17:39.098342,150.4,T,29
2020-08-12 00:17:42.566600,149.9,T,2C
2020-08-12 00:17:46.098925,150.1,T,2C
2020-08-12 00:17:49.103380,150.4,T,29
2020-08-12 00:17:52.566643,150.3,T,2E
2020-08-12 00:17:56.100215,150.4,T,29
2020-08-12 00:17:59.567292,150.5,T,28
2020-08-12 00:18:03.099610,150.5,T,28
2020-08-12 00:18:06.567887,150.4,T,29
2020-08-12 00:18:10.101458,150.3,T,2E
2020-08-12 00:18:13.568508,150.7,T,2A
2020-08-12 00:18:17.100977,150.5,T,28
2020-08-12 00:18:20.569123,150.2,T,2F
2020-08-12 00:18:24.101460,150.5,T,28
2020-08-12 00:18:27.569763,150.0,T,2D
2020-08-12 00:18:31.102216,150.2,T,2F
2020-08-12 00:18:34.569108,150.3,T,2E
2020-08-12 00:18:38.102671,150.7,T,2A
2020-08-12 00:18:41.569750,150.3,T,2E
2020-08-12 00:18:45.103445,150.5,T,28
2020-08-12 00:18:48.570344,150.5,T,28
2020-08-12 00:18:52.102659,150.0,T,2D
2020-08-12 00:18:55.570996,150.5,T,28
2020-08-12 00:18:59.103436,150.5,T,28
2020-08-12 00:19:02.571590,150.2,T,2F
2020-08-12 00:19:06.104011,150.1,T,2C
2020-08-12 00:19:09.572350,150.5,T,28
2020-08-12 00:19:13.104655,150.5,T,28
2020-08-12 00:19:16.572810,150.3,T,2E
2020-08-12 00:19:20.105256,150.0,T,2D
2020-08-12 00:19:23.572324,150.4,T,29
2020-08-12 00:19:27.105902,150.5,T,28
2020-08-12 00:19:30.572922,150.6,T,2B
